Modelo,Accuracy,Accuracy_STD,Precision,Precision_STD,Recall,Recall_STD,F1,F1_STD,Train_Time(s),Train_Time_STD,Predict_Time(s),Predict_Time_STD
Random Forest,0.9974193548387097,0.002316199917047099,0.9975774826059457,0.002179664369689931,0.9974193548387097,0.002316199917047099,0.997415521000463,0.0023203904134902484,3.0993343591690063,0.11553202288959226,0.03432295322418213,0.003687517055082556
Decision Tree,0.9836559139784947,0.0029171311755377535,0.9846256571280291,0.0029237451385415456,0.9836559139784947,0.0029171311755377223,0.9836238457192295,0.0029421192533649306,0.06039717197418213,0.004587183242084066,0.007460188865661621,0.0003048136926741587
Logistic Regression,0.9931182795698925,0.0033037186012338073,0.9936876611686859,0.0031350870291990763,0.9931182795698925,0.0033037186012338073,0.993064952941294,0.003392696531344105,0.1900315761566162,0.014528424215559874,0.008006596565246582,0.0010777546216073333
KNN,0.9658064516129032,0.009734598105596789,0.9673637615948862,0.009420665136056898,0.9658064516129032,0.00973459810559681,0.9655268603675251,0.00992337095771194,0.0028794050216674806,0.0005581827285215842,0.2794543504714966,0.8010082953071318
SVM,0.9944086021505377,0.0037495904890672243,0.9947210174392337,0.0036073980300558874,0.9944086021505377,0.0037495904890672243,0.9943999776163649,0.0037540426625476456,0.07986395359039307,0.0018544504162677747,0.0216188907623291,0.0005331517609252432
Naive Bayes,0.9825806451612904,0.007031304397536279,0.9843232558357895,0.00581469279521742,0.9825806451612904,0.0070313043975362794,0.9825922690415126,0.006932613410434121,0.005294537544250489,0.0001379394977130913,0.007446956634521484,0.00014463335672321214
